"","Estimate","Std.Error","Lower.CI","Upper.CI","Method","term","beta_true","bias","covered","param"
"1",0.198531125402028,0.0124591824599543,0.174111576503705,0.222950674300352,"true","(Intercept)",0,0.198531125402028,FALSE,0
"2",-1.02058509379372,0.0198012723746562,-1.05939487449612,-0.981775313091328,"true","x1",-0.997839713135789,-0.0227453806579336,TRUE,0
"3",0.0765822168092862,0.0199581487052213,0.0374649641489577,0.115699469469615,"true","x2",0.0656955621719357,0.0108866546373505,TRUE,0
"4",0.192645855362484,0.0074819619797427,0.177981479348491,0.207310231376478,"naive","(Intercept)",0,0.192645855362484,FALSE,0
"5",-1.01738187096733,0.0149871927150535,-1.0467562289182,-0.988007513016468,"naive","x1",-0.997839713135789,-0.0195421578315453,TRUE,0
"6",0.0752215208724085,0.0156295891655616,0.0445880890147502,0.105854952730067,"naive","x2",0.0656955621719357,0.00952595870047279,TRUE,0
"7",0.212054369811802,0.0381381428408588,0.137304983406475,0.28680375621713,"classical","(Intercept)",0,0.212054369811802,FALSE,0
"8",-0.975608419006964,0.0554432015830821,-1.0842750972974,-0.866941740716529,"classical","x1",-0.997839713135789,0.0222312941288243,TRUE,0
"9",0.141770600351984,0.084793525718363,-0.0244216561781781,0.307962856882146,"classical","x2",0.0656955621719357,0.0760750381800485,TRUE,0
"10",0.194070662819657,0.0310609485083101,0.133192322417716,0.254949003221598,"ppi","(Intercept)",0,0.194070662819657,FALSE,0
"11",-0.997440038236255,0.0394712972193861,-1.07480235920933,-0.920077717263182,"ppi","x1",-0.997839713135789,0.000399674899533742,TRUE,0
"12",0.0681625811730732,0.0463703882455931,-0.0227217097374288,0.159046872083575,"ppi","x2",0.0656955621719357,0.00246701900113754,TRUE,0
"13",0.193763093046173,0.0310777414888749,0.132851839007132,0.254674347085214,"chen-chen","(Intercept)",0,0.193763093046173,FALSE,0
"14",-1.00068835910788,0.0388833113431514,-1.07689824894012,-0.924478469275648,"chen-chen","x1",-0.997839713135789,-0.00284864597209356,TRUE,0
"15",0.0701520607598827,0.0466142341149485,-0.0212101592723347,0.1615142807921,"chen-chen","x2",0.0656955621719357,0.00445649858794706,TRUE,0
"16",0.194232630898444,0.0310540553209201,0.133367800895526,0.255097460901362,"pdc","(Intercept)",0,0.194232630898444,FALSE,0
"17",-0.994711821231504,0.039181664027142,-1.07150647157905,-0.917917170883957,"pdc","x1",-0.997839713135789,0.00312789190428475,TRUE,0
"18",0.0670574749318557,0.0463470864642484,-0.023781145326435,0.157896095190146,"pdc","x2",0.0656955621719357,0.00136191275992005,TRUE,0
"19",0.183796390838599,0.0126114428943539,0.159078416972582,0.208514364704616,"true","(Intercept)",0,0.183796390838599,FALSE,0
"20",-0.295290018897861,0.0183528639365458,-0.331260971226655,-0.259319066569067,"true","x1",-0.288682968052701,-0.00660705084515983,TRUE,0
"21",0.968658106178109,0.0186196215034116,0.932164318625655,1.00515189373056,"true","x2",0.957424745844958,0.0112333603331505,TRUE,0
"22",0.198208129743243,0.0077857511983171,0.182948337801952,0.213467921684534,"naive","(Intercept)",0,0.198208129743243,FALSE,0
"23",-0.301360409528567,0.0129294071193338,-0.326701581823917,-0.276019237233217,"naive","x1",-0.288682968052701,-0.0126774414758659,TRUE,0
"24",0.95609792399575,0.0138974943421111,0.928859335609863,0.983336512381637,"naive","x2",0.957424745844958,-0.00132682184920874,TRUE,0
"25",0.202727703762523,0.0386425614679347,0.126989675014996,0.27846573251005,"classical","(Intercept)",0,0.202727703762523,FALSE,0
"26",-0.235610799313884,0.057397858525066,-0.348108534812739,-0.123113063815029,"classical","x1",-0.288682968052701,0.0530721687388174,TRUE,0
"27",0.979766004167688,0.0584098834321675,0.865284736299457,1.09424727203592,"classical","x2",0.957424745844958,0.0223412583227296,TRUE,0
"28",0.165402693699675,0.0312554782424467,0.104143082024904,0.226662305374446,"ppi","(Intercept)",0,0.165402693699675,FALSE,0
"29",-0.273867575559639,0.0411125097849352,-0.354446614052163,-0.193288537067116,"ppi","x1",-0.288682968052701,0.014815392493062,TRUE,0
"30",0.971238242314103,0.0423313489399977,0.88827032297471,1.0542061616535,"ppi","x2",0.957424745844958,0.0138134964691448,TRUE,0
"31",0.167208089107415,0.0311320422238706,0.106190407583448,0.228225770631381,"chen-chen","(Intercept)",0,0.167208089107415,FALSE,0
"32",-0.277538472529957,0.0405643638929026,-0.357043164815823,-0.198033780244091,"chen-chen","x1",-0.288682968052701,0.0111444955227445,TRUE,0
